stemming_content,label
scroll,netral
dark mode bug android please fix,negatif
tolong batas aktifitas akun thread gue bagus instagram tiktok,negatif
bagus saran pusat akun meta auto posting aplikasi facebook threads aplikasi sedia mode gelap foto simpan download langsung bug munkin saran user,negatif
kaish fitur edit album foto,positif
nge bug pengaruh kentang,positif
buka ngebug teks double,negatif
tolong fitur simpan gambar translate,negatif
pliss gua gbsa login gua huaa,negatif
saran bagus akun bawa jangkau orang sayang kasih bintang kali pakai threads akun tolong multiply akun ya terima kasih ulas,positif
appnya bom sempurna kali coba patah masaa,negatif
fitur voice group hashtag kirim gif cantik user interfacenya warna hitam putih gelep,negatif
jelek asih bintang,negatif
sembunyiin lencana bio eh,negatif
instagram buka garagara apk,netral
dark mode benerin,netral
tampil nge bug,negatif
bagus eror,negatif
memosting foto aplikasi tulis threads henti mohon aplikasi terimakasih,negatif
translate,netral
patah tampil,negatif
suka hemat kuota,positif
tolong fitur edit mengupload media mengupload foto ditambahakan sticker potong ukur foto sedia ubah aplikasi,positif
aplikasi suka ngebug min tolong,negatif
tolong tambah save foto,positif
balikin lencana sembunyi,negatif
pakai hastag,positif
monoton nostalgia jaman facebook bentuk nagih hutang akun langsung banned twitter deh,netral
lag ya,positif
bikin akun inimah pakai akun orang teroris skip teroris friendly,netral
fungsi bintang aplikasi fitur edit komentar lokasi bintang,negatif
tambah fitur terjemah otomatis biar mantap,positif
pecah buka gambar,negatif
tolong fitur login akun fitur notifikasi beda biar campur follow,positif
threads bagus bug suka force close threads update benah moga cepat benah aplikasi keren banget,negatif
aplikasi keren fiturnya lengkap banding aplikasi tetangga belah bismillah iphone macbook pro,negatif
scroll tulis blur kayak,negatif
bagus update tambah mode gelap keren,negatif
pas scroll tampil tumpang tindih,negatif
diandro ngebug tulis ketimpah timpah wkwkw,netral
suka error,negatif
aplikasi bagus sayang meng upload foto crash mohon,negatif
apk sbnernya cok keunggulanya,netral
sangka bagus apk developer mohon kembang seru obrol mutualan seru banget,positif
pakai scroll bugny tolong,positif
mode gelap tong,negatif
aplikasi bagus fitur dark mode kirim pesan pribadi teman tolong update support browser desktop komputer orang handphone,netral
deh apk zucc ngotak kayak standar komunitas facebook,negatif
bagus cuman kadang rada ngelag wajar,negatif
download apk penasaran twitter edit mata silau tampil putih antarmuka alias mode gelap,negatif
bug pakai mode gelap mohon mohon mode gelap aplikasi biar silau,negatif
hati mark jual data kayak facebook gila gua kaget data banget,negatif
error kayak timpa bom,negatif
fitur simpan gambar translate dll,negatif
scrool komen milik akun balas utas,positif
lihat following error,negatif
seru twitter kece twitter semru twitter,positif
perijinannya rem,negatif
aplikasi bagus fiturnya muas tingkat,netral
bugs tolong,positif
suka forclose,positif
tambah,netral
bagus suka enak orang warga baperan orang santuy kayak apk deh,negatif
aplikasi donwload eror threads pas scroll tampil eror tolong,negatif
force close,negatif
aplikasi paksa daftar aplikasi pakai instagram aplikasi kagak putus,negatif
tau main pakai urus update,negatif
kadang force close,positif
download bbrapa jam muncul bug aduug seru muncul aplikasi henti notifikasi muncul bayi kali sesuai cepat kalah saing aplikasi burung putih,negatif
tolong fix memposting foto simpan instagram alami force close,negatif
tampil simple tarik karakter kalimat fitur aktif ting terjemah bahasa negara dunia,negatif
login instagram mohon,netral
tampil ngebug,negatif
buruk banget aplikasi sesal gwa downloadnya download apk bahaya banget data,negatif
good app but still lots bugs,positif
apk jelek gara download gbisa buka,negatif
sip aman tambah mode gelapp,netral
kayak tahi anjr ngebug,negatif
buka komen force close,negatif
alam oppo realme pas mode gelap bawa realme nyala aplikasi threads ngebug tampil tumpuk ulang mode gelap bawa realme mati aplikasi threads jalan normal,negatif
bug tampil beranda timpa,negatif
profil masang profil ganti muncul profilny bug,negatif
bagus banget asa kayak selebgram apk,negatif
force close foto komentar foto,positif
tulis getar kayak rusak bug tolong pengin ngethreads gasieeh,negatif
apk translate saran tolong orang paham bahasa,negatif
fiturnya singkron instagram threads logout buka salah,negatif
save image who follow beranda rekomendasi upload corn tampil plak ketiplek twitter mabok janda kayak mark kadal kocak,negatif
force close install app update versi force close,negatif
aplikasi bagus kompetitor aplikasi kompetitif mudah ketemu teman ter integtitas langsung medsos,negatif
eror notifny rusak hue,negatif
glitch bug tampil home,negatif
simpel aplikasi twitter fitur direct message fitur trending,negatif
bilang qplikasi jalan kentang cees,netral
bagus konten sedia threads tolong sesuai minat akun isi boring beranda threads isi centang biru ribet sembunyi blokir,negatif
bug fix update rating,netral
tambah fitur hashtagnya filter pilih fotod galeri upload foto scroll,positif
translate beranda centang biru fitur light mode dark mode kirim pesan trending komen plus pakai foto error gagal kirim minimal bug fitur threads,negatif
tau buka threads force close miui,negatif
bug app henti xoaomi pro,negatif
force close posting,negatif
buka threads orang force close,negatif
tampil aplikasi tarik path,negatif
fitur hapus akun pisah,negatif
baca komen force close,netral
layar login threads geser getar,negatif
pecah layar lag,netral
habis main instagram ngebug buka aduh apk twet,negatif
aplikasi bug salah force close tolong bik menganggu,negatif
error woyy aplikasi niat anjir,negatif
masuk aplikasi,negatif
tampil putih doang cuy aowkaowkaok teman bilang ngebug,negatif
bug parah banget layar crash,negatif
aplikasi bagus kayak blue biru,negatif
glicth tampil mode gelap,negatif
bagus banget tolong fitur semat tagar akun utama kasih bintang saran teman aju saran,negatif
mantap min indak pegang akun tunggu update,positif
apk eror pas scroll gambar luntur tolong,negatif
messeger,netral
aplikasi suka henti scroll,negatif
tampil akun profil,negatif
random isi beranda tolong muncul difollow genre masuk,negatif
eror entar deh bagus tambah,negatif
tau pakai apknya,negatif
aplikasi alami bug refresh tolong cepat,negatif
aneh bio hilang tulis follower kayak fix sistem ubah,negatif
bagus tinggal tambah fitur translate,negatif
eror suport,negatif
apk bikin akun intagram hilang,negatif
fitur musik bah kayak instagram tuh,negatif
apk sesat instal apk informasi pribadi trcantum akun lokasi nomor sandi akun deh situ hapus akun thread trsbut otomatis akun hapus hati,negatif
lumayan asik gabung gue tau deh konsep serius seru kayak twi andai edit tulis cakep save gambar adem untung kagak iklan,negatif
mention langsung force close aplikasi pakai huawei nova,negatif
oke lahir simpan data banyakk banget sensitif bingung makenya banget burung biru acc sec kah,positif
menuh menuhin memory,netral
balas threads orang kadang force close kadang tolong,positif
tampil interface beranta banget mayor bug malas buka ujung twitter tolong aplikasi gua stop main twitter,negatif
fitur simpan foto video orang mudah simpat postingan orang,positif
tolong kasih terjemah trending,positif
bug night mode tolong,positif
suka kocok,negatif
post foto nge bug home,positif
kemarin bagus aplikasi force closed fitur tagar trending bookmark simpan foto direct message utama filter algoritma personal interest moga kembang,negatif
bug tolong,positif
bintang login pakai instagram instagramnya logout pas login instagram threads logout moga langsung ditindaklanjuti,positif
aggressive ambil data bunda,negatif
bug scroll,netral
beda instagram cuman bikin puisi arang cerita,negatif
bagus tambah fitur translate,negatif
login tambah kayak doang kagak main,negatif
mohon bantu developer threads nge bug tulis geser sentuh langsung kayak nyatu eror pokok wajar teman,negatif
aplikasi bug scrol bug,negatif
limit lihat following refresh timeline kena limit tampil followers hilang kena limit kena,negatif
aplikasi selebgram gila cari followers like susah banget branda full selebgram asa pindah fitur doang,negatif
min tambah fitur pesan selingkuh apk upss,negatif
wifi lancar memori masii penuh banget menang,negatif
nice curhatan,positif
gara apk gua error bgst,negatif
app henti tolong threads fitur trending topik,negatif
ngebug woy apk enak,positif
threads seasik,netral
force close scroll doang tolong fitur dark mode light mode cocok,netral
standar komunitas bang,negatif
foto why,positif
instagramku lag buka semenjak download pakai aplikasi,negatif
bagus,negatif
bagus tarik bug parah,negatif
mode gelap aktif tampil patah glitch patah saran offin mode gelap mode malam,negatif
maaf suka jarang sih ganggu banget,negatif
sayang postingan gambar,negatif
banget anjg threads glitchh scroll suka kayak ngulang glitchh,negatif
habis login langsung buka,positif
overall bagus ditambahin fitur biar lihat post orang follow tampilin orang,negatif
upload foto parah depan,negatif
tulis goyang gakebaca puyeng,negatif
aplikasi unduh theards,negatif
lumayan lengkap fiturnya,negatif
guna aplikasi rating deh,positif
anehh woii instagram gue error jdinya,negatif
aplikasi eror teks baca mohon tinjau ulang,negatif
woii first account gua log out gra apk bngsd,negatif
bintang multi akun hapus akun threads akun instagram hapus masuk tolong tambah fitur ganti akun kait akun instagram,negatif
halo dev lencana threads akun instagram sengaja pencet sembunyi balikin,negatif
nge bug lihat,positif
pakai aplikasi batre turun boros mohon bug,negatif
bagus banget seru dukung apk,positif
woi akun kena hack balikin aplikasi,negatif
download buka,netral
plis kendala following restart ulang,netral
tolong fitur lengkap kayak opsi terjemah,negatif
aplikasi bagus tolong tambah fitur translate save photo mode hemat data thanks,negatif
hape support tunggu update,positif
gua log pakai akun bukaa pokok marah banget pliss,negatif
mode gelap hancuurr,negatif
random banget feednya follow beranta interface cuman basic putih,negatif
fitur arsip,negatif
fitur translate bug force close,negatif
aplikasi mudah hacking download langsung login kenal,positif
fitur upload foto video langsung rekam folder file pisah following akun rekomendasi campur beranda fitur tampil akun bio instagram lanjur sembunyi,negatif
post foto aplikasi sih,negatif
duh plus bawa eror,negatif
tolong akunw artis follow tampil beranda ganggu,negatif
trending topik coba bikin kayak tinder cari jodoh mantap,netral
versi lite device bug error lag homepage scrooling versi trial beta,negatif
pakai aplikasi usaha internal ram minimal patah pakai ram lancar,negatif
xiaomi redmi scroll langsung ngebug error,negatif
dukung suka eror bug,positif
heran orang takut apk wajar,negatif
tolong vitur download foto video,positif
tulis nupuk eror,negatif
mudah operasi,positif
coba gbisa buka,netral
untung download aplikasi susah cari followers duit,negatif
pakai wifi pakai data,negatif
bagus bug benah scrol mode gelap mode gelap ikut mode,negatif
masuk crash mental buka parah sih,negatif
kembang download buka tunggu,positif
aplikasi bagus terjemah bahasa asing,negatif
aplikasi deh bagus lengkap fitur salah fitur terjemah susah baca tulis thailand google harap tambah fitur terjemah ya,negatif
lag parah scroll langsung eror geter,negatif
overall bagus butuh fitur sempurna butuh tingkat maklum apk tetes,negatif
pastingan postingannya tolong rapi spam difollow muncul menu home postingan lihat tolong ganggu media sosial tahan,netral
download aplikasi instagram error wkwk,negatif
bug terusin story instagram hapus jam orang deh hapus,negatif
hp ngelag,netral
bug dihp gua tulis nyatu tolong,negatif
usahain tambah fitur chattan bang,negatif
tampil patah,negatif
malaz support,positif
aplikasi eror ngescroll tolong benerin,negatif
aplikasi rilus apl ngebug tolong dibperbaiki,negatif
apk buka error coba pakai,negatif
semenjak main threads aplikasi instagram force close buka,negatif
aplikasi bagus sayang buka browser,negatif
trending hastag seru twitter,positif
tulis gerak tolong,positif
aplikasi bagus logout akun logout,negatif
tulis lari tabrak anjir,negatif
gara threads buka,negatif
coba selancar media sosila,positif
bagus aplikasi bug upload foto,negatif
ganti twitter kayak pas buka app,netral
ngaak pakai timor leste,netral
aplikasi bagus masuk ngebug pecah,negatif
gue tau login instagram gue aneh hilang balas akun gue sndirii aneh aneh gue download sumpah,negatif
parah lag banget,negatif
upload gambar thumbnail buram abu refresh tombol home rekomendasi threads bahasa bule susah fitur terjemah,negatif
bug parah kagak pakai,negatif
bug text numpuk,negatif
makasii gua lepas tiktok gua kesini cari komennya elon btw xixiixix,negatif
ngelag bug ngalamin kentang,netral
newsfeed beranta postingan muncul tata akun centang biru relevan minat orang follow jarang postingannya menu batas edit profil edit akun meta akun instagram,negatif
masuk error aplikasi,negatif
banyak fitur explore hashtag,netral
ngambil data banget,negatif
bug nyaman scroll lihat komentar suka close app,positif
apk good eror instagramku buka,positif
tolong akun taut threads buka instagram kecewa bagus,negatif
posting foto tolong developer,positif
donlod apk sesat gue kena bug gara apk tolong,negatif
formula polos paham,negatif
aplikasiny bagus bintang dihp posting foto video,positif
login threads akun gua kena hack,negatif
gara threads buka instagram,negatif
lumayan tambah akum postang posting pameriah,negatif
scroll aplikasi lancar scroll enak,negatif
semenjak download aplikasi utama logout otomatis threads logout login,negatif
bagus kokk translatenya,negatif
suka desain simplenya orang follow,positif
fitur terjemah mohon fitur terjemah adakan pergi translate terjemah bahasa asing,negatif
tolong fitur dark mode instagram,positif
tolong terjemah otomatis butuh terimakasih threads,positif
gara apk instagram error daftar threads semalem siang buka akun,negatif
baguuss izin masuk bis fitur simpan postingan koleksi tanda postingan suka terimakasih suka puass,negatif
woi nge bug gara apk hamdeh,negatif
aplikasi simple familiar tarik saran hastagnya,positif
sesal banget hapus lencana baca tambah fitur lencana,negatif
bagus nyesal pakai akun first takut hapus akun threads hapus akun,negatif
alami bug threads postingan scroll alami glitch,negatif
woi instagram gua error gara download masuk tekeluar masuk,negatif
daftar mudah info profile impor,negatif
glitch dihape kentang redmi note,netral
pas buka eror,negatif
fitur save foto,positif
trending topik indonesia fitur simpan gambar banget status whatsapp pliss banget sekian denny,negatif
instagram bug meng upload story menginstal apk,netral
upload foto langsung force close tolong,positif
aplikasi lumayan saran fitur save gambar trending,negatif
scroll tampil getar seperni noice,negatif
fitur search burik cuman search akun search topik gua benci mark zuckerberg,negatif
threads orang follow beranda threads orang follow fitur explore instagram daftar akun follow instagram rekomendasi follow threads saran fitur cari kunci threads hastag,negatif
mohon pisah akun treads akun instagram utama,negatif
eror bikin thread langsung close pop bug,positif
lol data akses,negatif
tolong bugnya masak buka beranda status orang suka tolong fitur fitur hastag trending terjemah voice note utas kolom komentar,positif
aplikasi bagus beranda getar glith nonaktif mode gelap instagram atur mode terang,negatif
bagus kasih bintang bom fitur tagar heboh terviral balance topik hangat trending bintang,negatif
aplikasi broken bug parah,negatif
android ngebug scroll langsung crush bikin sakit mata aplikasi ios,negatif
akses tulis gambar bayang gera,positif
bug tolong realme,positif
saran tambah fitur cari translate enak pakai timeline tolong random banget sesuai topik suka ikut,positif
aplikasi ngebug tolong kali download ngebug beranda,negatif
pas pakai threads akun pakai apk asli ngecrash gbsa masuk mohon cepat fix soapnya akun masuk banget,netral
aplikasi treads bagus mudah paham simple kayak alam sosial media,positif
buka threads eror pas buka apk pakai mode gelap,negatif
langgar privasi,netral
gara garaa akun kelogout kena hack orang sistemnyaa,negatif
bug bintang ganti,netral
aplikasi sih scroll tulis beranta download,negatif
tolong akun benerin aplikasi,negatif
apk bagus bug ngescrol gambar ngeglicht irang ngalamin tolong,negatif
banding twitter hastag fitur trend instagram threads pisah,negatif
instagram kena bug hubung threads,negatif
overall bagus video durasi translate postingan komentar,negatif
nge bug tolong apk ganggu instagram mending hapus,negatif
bug log out scroll log out,netral
mudah,positif
apk bagus tolong benar lancana threads hapus muncul,negatif
ada fitur simpan gambar,negatif
bug threads upload foto aplikasi,negatif
terjemah lihat utas thailand susah,positif
bagus notif follower notifnya numpuk gagu follback follow mohon,negatif
bagus sayang algoritmanya beranta ngeload beranda muter post,negatif
semenjak threads instagram error bug tolong sistem,negatif
bug coba download ulang moga lebi,positif
coba translate susah translate orang erti,negatif
timeline postingan orang follow ganggu,negatif
tolong mas ngebug parah,negatif
meng unistal aplikasi intagram hilang,negatif
teks tumpuk baca tolong aplikasi,negatif
jelek aplikasi dimainin huruf nyatu baca,negatif
buka threads kena render bug,negatif
smnjk download akun instagram ngeleg buka,netral
threads aplikasi,negatif
instagram buka,netral
app bagus halasa ngespam,negatif
ngebug tampil mohon,negatif
tahap fitur sedia banding kompetitor threads tunggu baharu,positif
tambah fitur ukur font,positif
bug salah tema chat instagram menginstall thread tema chat instagram default sisi ubah default cuman lihat chat tema algoritmanya arah ikut artis isi thread artis centang biru fitur send chat model cuman nampil thread,positif
kali pakai bagus pakai besok jelekk hpnya aplikasi tau pakai aplikasi cuman keliatann,negatif
gara aplikasi instagram teman hack tolong fitur hapus akun hapus akun instagram tolong aman akun,negatif
tolong ada thema gelap biar mata silau,negatif
keren masuk email instagram,negatif
kali hapus download error,negatif
tolong benerin bugnya teks salin timpa teks ya error,negatif
ngebag mulu afk,positif
simple twitter login tinggal masuk instragram lupa login instagram tinggal masuk facebook aplikasi buzzerp kait postingan politik,negatif
fiturnya tambah tampil biar tarik variasi latar putih polos kasih warna warni bosan,negatif
tolong ada fitur tarik contoh kayak dengar lagu bareng teman ada follow back biar capek ecek fitur voice note sabi dibatasin waktuny fitur thank you,positif
isi centang biru sesuai selera ken absurd centang biru lihat formal,negatif
aplikasi jalan lancar bug harap fitur terjemah bahasa,negatif
susah orang follow lihat reals kayak instagram youtube facebook tik tok,negatif
download threads akun instagram buka jujur,positif
bagus terjemah doang tolong,negatif
bagus akurat mohon fitur terima kasih,positif
there one bug that encountered where was about post something clicked the image and clicked continue suddenly the application stopped and exited itself,negatif
upload foto eror pagi sore kayak kelar upload file size tunggu update,negatif
buka ngebug gambar tulis campur aduk buka ulang kali,positif
fitur terjemah unggah,netral
facebook susah fyp postingan,negatif
fitur orang beranda,negatif
tolong pisahin publik orang balikin lencana threads nyeselhapuslencana bug tolong tambah fitur save foto video poling,positif
bug banget buka bug saran hapus akun hapus akun,negatif
kasih fitur trending chat,positif
aplikasi berat diandroid,negatif
gegara apk akses telor,negatif
balas komentar idol,negatif
bintang gin tampil beranda artis seleb centang biru kayak orang dish,negatif
tolong fitur edit thread anak typo banget,negatif
aplikasi bagus fitur kasih gin kualitas upload foto video bagus instagram,netral
bug upload fotoo,netral
bagus saran sih konten balas diapus mending tampil balas ganggu ajasii,negatif
tolong kasih translate indonesia,positif
gara download buka uninstall login tolong kerjasamanya,negatif
tingkat tagar,negatif
beta tester lapor bug fitur komen akun beta tester,negatif
home threads post dal influenser utama post orang,netral
tukam titik bug aplikasi postingan foto aplikasi henti close forced mohon,negatif
bug text tumpu scroll bug parah menggangu terimakasih,negatif
centang biru sampah timeline,negatif
saran fitur aplikasi optimal fitur zoom foto kadang susah lihat foto zoom tambah hastag biar orang tulis caption jangkau luas twitter tab beranda following for you tambah opsi media galeri bawa post tweet orang gampang pilih foto galeri,positif
protes nama rilis update,netral
bingung fitur kayak,negatif
password mudah retas orang masuk akun threads,negatif
apresiasi akun mohon izin hapus akun,negatif
refresh update hapus pesan live refresh kayak facebook fitur chat fitur download gambar video fitur rethreads counter moga cepat terimakasih,positif
bug bagus,negatif
apk perfesional nikmat,positif
parah aplikasi,negatif
buka tunggu mode gelap,negatif
suka tunggu kembang moga sesuai harap,positif
bug apk buka error,negatif
akun instagram hilang hapus akun threads,negatif
gara download gua erorr,negatif
jelek apk kode digit kirim,negatif
bebas bicara,negatif
aplikasih bohong mar,negatif
bikin thread ribet,negatif
nge bug parah tulis numpuk pas scroll baca samsek download uninstall download pakai,negatif
download threads,netral
tunggu update bug glitch tipe smartphone tertenu,negatif
pakai akun instagram threads pas habis login akun instagram threads pakai akun buka instagram pakai akun force close,positif
baiksi tampil bio hapus pasang maklum moga,positif
lumayan bagus bug,negatif
genap jam instal android tampil goyang kabur,negatif
atur beranda pisah tampil trending akun,negatif
woi gue force close gara aplikasi anjingg,negatif
apk tengok kayak apk pinjol ilegal kali izin,negatif
alami kendala upload foto crash,negatif
tolong tombol postingnya dipindahin pliss,positif
bug tulis tumpuk geser,negatif
pakai posting foto langsung hank,positif
moga hastagnya,positif
bug tulis tumpuk,negatif
hai iya baca komen tolong mendownload apk bahaya akun hilang login apk akun login apk pakai akun fake bukti apk sampah,negatif
bagus ganti twitter limit post,negatif
tolong opsi simpan unduh foto twitter opsi simpan postingan hastag trending maklum aplikasi umur,negatif
lumayan sisip lagu enak,positif
bug android alami bug glich login sentuh scrol langsung tampil nge glich mohon ganti twitter,negatif
aplikasi akun instagram pakai lite,negatif
akun gua buka semenjak login threads bug parah,negatif
semenjak apk giat begadang,negatif
xiomi cocok aplikasi down kaji masak buka kelip bintang,negatif
bug parah tau deh bilang,negatif
cepat algoritma deh kesal banget isi threads artis indonesia jelek,negatif
kecewa bug mengscroll tampil beranda tulis teks poto dll tampil error scroll teks poto gerak,negatif
aplikasi bagus bug tolong terima kasih,negatif
bikin layar rusak error,negatif
apkny bagus tambah fitur terjemah,negatif
scroll content ulang hasil menang main solitaire windows mark efek motion blur bug hilang buka recent app tutup bug menscroll halaman,negatif
baca numpuk,negatif
buka apk,netral
saran next update beranda following beranda publik tolong pisah biar enak threads following publik pisah,negatif
ukur aplikasi gede fiturnya bingung cari bugnya,negatif
lencana hapus balikin,negatif
mas bug layar mix scroll,netral
upload foto kadang,positif
bagus ganti twitter fiturnya,negatif
bagus simpel tampil,negatif
bug parah banget beranda ngebayang parah coba hapus data login ulang bugnya kasih bintang,negatif
bug parah banget kelas meta apk optimal rilis kesan orang bkl jelek banget,negatif
hancur kirim deh rusa tumpuk,negatif
aplikasi bagus bawaanya positif sharing ilmu saran tingkat aplikasi bug terimakasih,positif
nonaktif akun hidup salah login,negatif
tolong tambah fitur edit kayak typo edit biar capek typo hapus tambah terjemah,negatif
gamenya susah namatinnya like share and komentar,negatif
aplikasi bagus nyaman pakai predikis aplikasi app rame cuman ditambahin fitur fiturnya edit thread salah konten upload hapus ketik ulang repot aplikasi tagar biar mudah jangkau konten suka pas cari cuman akun muncul konten tagar kait cari,negatif
dasar apk bodoh hack masuk awas,negatif
translate,netral
eror buka tampil eror,negatif
apk bagus banget fitur translate,negatif
aneh deh keinstal muncul halaman layar bug aplikasi coba unduh aplikasi threads instal muncul halaman layar coba buka playstore hapus unduh hadehh buang kuota internet,negatif
bang tolong tambah fitur translate alah biar gue paham cokpop gue update translate feature please,negatif
glitch mode gelap,negatif
nomor threads sembunyi bio lgii,netral
kayak ngeglich pas scrol,netral
terjemakan bahasa base pantau mode gelap tranding gapapa,negatif
asih ulas pakai threads ngeleg makek bagus tipe kentang bagus pakai ngeleg,negatif
aplikasi pas buka aplikasi langsung getar kayak ngebug anjir kayak,negatif
lumayan bagus mohon fitur notifikasi followers gabung lihat following followback schedule posting likes profil aplikasi search keyword posting trending,negatif
bagus lengkap translate,negatif
fitur translate,netral
aplikasi bagus akun instagram buka aplikasi instagram mohon bug terimakasih,negatif
bug aplikasi logout bebarengan force close saran tolong fitur translate simpan foto video,negatif
kayak upload foto mulu kesel gua kayak ya kasih solusi minn,negatif
aplikasi bagus etik character,negatif
bagus banget sayang topic trending search muncul akun doang kayak postingan orang,negatif
jam orang login beda langsung ganti wkwk,positif
translate bahasa,negatif
burung butuh fitur translate tagar pokok persis burung kayak oke iya tolong tambah fitur edit pas nge threads biar typo something cap plagiarisme idk but butuh fitur kusebutin resolusi pas ngunggah foto tolong,negatif
mode gelap,negatif
bug bahagia status story,positif
akun logout pakai threads,netral
habis download treads eror buka,negatif
aplikasi threads bahaya ya,negatif
gara instagram aplikasi threads log thread force close tolong instagram aplikasi sampah,negatif
fitur terjemah lencana threads atur,negatif
kasih abang mark fitur lengkap appnya simpel,positif
sambung akun instagram buka forceclose tolong first acc,negatif
saran kasih translate susah ayang update erti,negatif
maaf kasih bintang tolong threads fitur translate download bujang kpop erti bahasa tolong ya threads ada fitur terjemah terimakasih,positif
aplikasi keren bantu branding terimakasih moga sukses,positif
tolong threads fitur translate anak nct akun entar susah pakai hangul,negatif
aplikasi bagus fitur save foto futur translate fitur akun fitur kasih bintang,negatif
tambah sistem terjemah,negatif
beranda random banget isi orang follow muncul,negatif
aplikasi bagus sempurna bug menganggu nyaman user,negatif
download pas lihat postingan akun instagram hilang coba sesal banget pakai postingan emot nang,negatif
bug upload foto,positif
hmzz tolong kasih translate,positif
gara gue tanggungjawab woy,negatif
lumayan fitur translate dark mode suka error,negatif
apk bagus kayak translate beranta mutualan mulu kesel akun gue buka menang,negatif
tolong tingkat upload foto sedih banget bintang,positif
tolong cepat vitur translate,positif
bagus bug kesal masuk scroll ngeleg,negatif
wawas,netral
upload foto stres banget loh,netral
bug gila poll masuk gegara bug baca tulis,negatif
sayang fitur threads,netral
oke aplikasi bagus mudah suka logo aplikasi awokawok,negatif
bug suka teks numpuk kayak error,negatif
butuh translate threads,negatif
aplikasi stres diilangin lencana mas muncul jelek jelek bio gue,negatif
bagus postingan dipost edit ya hapus postingan upload iya kagok aplikasi wkwk butuh translate postingan bahasa biar orang asing paham tulis nemu kenal fitur,negatif
kasih fitur translate,positif
malas isi orang difollow orang centang biru muncul kudu hide,negatif
bug tolong cepat dibenerin,positif
gara hack akun,negatif
mengupload foto aplikasi coba,netral
didonlot apilkasi sistem masuk nongol bilah aplikasi malas auto del,negatif
translate terimakasih,positif
tolong fitur simpan gambar fitur translate fitur trends for you,negatif
bagus banget app fitur translate bolak google nerjemahin bahasa bujang ensiti,negatif
masuk susah menyingkronkan data suka beda teman twitter anonim,negatif
apk bagus fitur translate please the translate feature,negatif
hilang akun threads hubung enak cok,negatif
ken posting video durasi menit gagal posting internet lancar,negatif
akun aplinya upload foto apli,positif
aplikasi bagus banget tolong ada translate,negatif
jelek banget scroll ngebug,negatif
aplikasi bagus tolong kasih fitur translate,negatif
fiturnya lengkap translate,negatif
aplikasi bagus terjemah terima kasih,negatif
apk bagus butuh translate mohon developer ada translate,negatif
emm fungsi threads bagus banget,negatif
download eror please,negatif
masuk kayak butuh fitur beranda khusus deh biar nyaman scrolling rancu banget random orang random serandom bikin malas,negatif
bugnya parah pakai,negatif
apk instagram orang hilang gara apk,negatif
first gue buka anjeng,negatif
ngebug bang geser,negatif
bagus postingan privasi privat,negatif
kasih translate postingan foto kayak apk belah download keren,negatif
bug upload foto video,positif
too much bug akun hubung threads buka paksa ngakalin pakai lite please fix the bug immediately,negatif
akun kena hack,negatif
tolong kasih subtitle biar tau bicarain,negatif
aplikasi mohon tingkat fitur translate,negatif
tolong banget ada terjemah save foto vidio,positif
lumayann sih fitur translet biar kendala komunikasi artis idol negeri,negatif
tambah fitur translate,netral
tolong kasih fitur lencana instagram lanjur hapus,negatif
tolong limit buka kayak lihat terimakasih,positif
tolong banget mah ada fitur translate smaa save foto,positif
scroll tulis bayang instagram google lancar tolong,positif
monyet lo threads akun kehack gara download aplikasi enih moga elon benar gugat lo anjink rela bintang,negatif
semenjak download threads gue eror cuy pakai bugnya ditambahin ckckck baik bugnya bikin aplikasi,negatif
minus plerr notif telat error malu ajgg,negatif
wadaw keren bagus cuman bug kudu tambah wajar orang apk rilis lahir,positif
lumayan bagus moga fitur story kayak instagram,negatif
apk bagus banget tolong adakan fitur translate otomatis save foto terimakasih,positif
tolong pas share status feed instagram post feed instagram salah hilang fiturnya biar pro kirim pesan notif teman follback live siar terimakasih,positif
buka langsung error nyekrol,negatif
hapus limit kasih bintang,positif
error nih tolng susah kali,negatif
tolong balas komentar kito hilang profil sembunyi privasi,negatif
kritik tolong aplikasi simpan minimal simpan foto postingan,negatif
bayar unduh,negatif
sesat anjir gara aplikasi nge carsh mulu,negatif
aplikasi bantu cari referensi berita bagus banget suka trimaksihh,negatif
bagus pas join threads buka tolong banget cepat benerin kesel banget buka,netral
upload foto tau bug mulu coba kali kirim foto,positif
saran aplikasi instagram kembang fitur karya dunia kagum,positif
aplikasi liris bug kendala server buffering homepage clear data cache jaring stabil searching muncul tampil akun postingan akun orang aplikasi twitter fiturnya drastis batas close server,negatif
bug tulis dobel,negatif
android support bug buka campur tulisa tolong,positif
fitur translate crop save cari hps akun threads akun hapus permanen login akun hps salah akun threads,negatif
aplikasi lumayan bagus tolong tingkat ya orang nyaman semangat developer,positif
aplikasi bagus fitur,negatif
threads muncul halaman beranda home thread akun follow trending hashtag lihat twitter isi hashtagnya sampah,negatif
upload video suara muncul,negatif
jelek banget aplikasi ngebug banget download,negatif
fitur tranlsate,netral
keren bagus twitternya,negatif
login threads logout login logout threads benerin,netral
bug aplikasi kayak twitter instagram,negatif
bug parah tampil bayang,negatif
hapus treads doang akun instagramnya nonaktif slamanya,negatif
tolong adakan translate,positif
bug banget swipe tulis numpuk baca tulis,netral
bagus suka aplikasi threads,negatif
bug instal buka,netral
habis download buka,netral
bagus tampil uinya fresh,negatif
tolong update adakan fitur unduh gambar foto video,positif
apk bagus rada takut info edar bias tahan tolong simpan terjemah,negatif
